IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
840960000C0209,1.75,0.9,0.306,0.541,47.82,1817,33,98.18,96.64,97.91
841000000A0027,2.1,1.15,0.52,0.5,2.55,1874,928,50.48,0.91,60.78
830570000B0734,2.2,1.3,0.559,0.6,12.08,14828,1654,88.85,81.41,91.73
263220000B0439,2.5,1.0,0.285,0.981,9.5,2204,202,90.83,90.65,89.47
840870000L0199,1.45,1.2,0.405,0.7,30.56,2628,77,97.07,95.81,96.73
840090000G0458,1.9,0.95,0.459,0.487,2.23,4316,2096,51.44,0.19,55.24
831000000A0635,2.25,1.3,0.548,0.392,4.21,11293,3654,67.64,17.45,76.27
07228000AA0311,2.4,0.8,0.277,0.73,1.27,1421,1021,28.15,1.55,21.46
13072000AL0048,2.45,1.05,0.435,0.611,1.71,2648,1640,38.07,0.0,41.47
830940000G0701,2.15,1.65,0.553,0.41,3.32,1220,495,59.43,1.07,69.92
840870000N0543,2.0,1.1,0.503,0.52,3.64,13470,4382,67.47,37.41,72.51
840720000A0239,1.8,1.0,0.454,0.493,2.11,855,429,49.82,0.0,52.63
840710000A1765,2.15,1.05,0.523,0.557,2.24,5865,3270,44.25,0.0,55.31
840390000G1403,2.05,1.05,0.495,0.561,2.68,1039,440,57.65,24.45,62.66
830910000D0148,1.55,0.8,0.376,0.513,1.66,3813,1959,48.62,0.0,39.71
830870000C0509,2.2,1.3,0.551,0.456,3.05,7035,3155,55.15,1.75,67.24
830190000G0621,2.0,1.35,0.419,0.641,7.32,10370,1515,85.39,77.21,86.34
840490000A0720,1.95,1.25,0.439,0.489,2.36,394,185,53.05,4.06,57.61
073080000A1510,1.85,1.2,0.477,0.47,3.21,613,219,64.27,23.98,68.84
841480000E0167,,,,,,,,,,
